timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716291597195,220,Add HTTP request,200,OK,Thread Group 1-1,text,true,,2683,344,1,1,https://reqres.in/api/users,33,0,21
1716291597195,35,Add HTTP request-0,301,Moved Permanently,Thread Group 1-1,text,true,,785,224,1,1,http://reqres.in/api/users,33,0,21
1716291597231,184,Add HTTP request-1,200,OK,Thread Group 1-1,text,true,,1898,120,1,1,https://reqres.in/api/users,184,0,170
1716291602146,75,Add HTTP request,200,OK,Thread Group 1-2,text,true,,2683,344,1,1,https://reqres.in/api/users,26,0,4
1716291602146,26,Add HTTP request-0,301,Moved Permanently,Thread Group 1-2,text,true,,785,224,1,1,http://reqres.in/api/users,26,0,4
1716291602172,49,Add HTTP request-1,200,OK,Thread Group 1-2,text,true,,1898,120,1,1,https://reqres.in/api/users,49,0,35
1716291607162,80,Add HTTP request,200,OK,Thread Group 1-3,text,true,,2691,344,1,1,https://reqres.in/api/users,35,0,4
1716291607162,35,Add HTTP request-0,301,Moved Permanently,Thread Group 1-3,text,true,,793,224,1,1,http://reqres.in/api/users,35,0,4
1716291607197,45,Add HTTP request-1,200,OK,Thread Group 1-3,text,true,,1898,120,1,1,https://reqres.in/api/users,45,0,17
1716291612159,84,Add HTTP request,200,OK,Thread Group 1-4,text,true,,2685,344,1,1,https://reqres.in/api/users,24,0,4
1716291612159,24,Add HTTP request-0,301,Moved Permanently,Thread Group 1-4,text,true,,787,224,1,1,http://reqres.in/api/users,24,0,4
1716291612186,57,Add HTTP request-1,200,OK,Thread Group 1-4,text,true,,1898,120,1,1,https://reqres.in/api/users,57,0,37
1716291617141,84,Add HTTP request,200,OK,Thread Group 1-5,text,true,,2687,344,1,1,https://reqres.in/api/users,29,0,21
1716291617141,29,Add HTTP request-0,301,Moved Permanently,Thread Group 1-5,text,true,,789,224,1,1,http://reqres.in/api/users,29,0,21
1716291617171,54,Add HTTP request-1,200,OK,Thread Group 1-5,text,true,,1898,120,1,1,https://reqres.in/api/users,52,0,18
1716291622157,122,Add HTTP request,200,OK,Thread Group 1-6,text,true,,2683,344,1,1,https://reqres.in/api/users,73,0,8
1716291622157,73,Add HTTP request-0,301,Moved Permanently,Thread Group 1-6,text,true,,785,224,1,1,http://reqres.in/api/users,73,0,8
1716291622231,48,Add HTTP request-1,200,OK,Thread Group 1-6,text,true,,1898,120,1,1,https://reqres.in/api/users,47,0,23
1716291627139,68,Add HTTP request,200,OK,Thread Group 1-7,text,true,,2683,344,1,1,https://reqres.in/api/users,22,0,3
